"Source:","/home/mxmont/Documents/Work/Armada/power_board/power_board.kicad_sch"
"Date:","dom 27 mar 2022 22:21:43"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","134"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","10mOhms1","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","BT1","Battery","Device:Battery","Battery:BatteryHolder_MPD_BH-18650-PC2","~"
"","","BT2","Battery","Device:Battery","Battery:BatteryHolder_MPD_BH-18650-PC2","~"
"","","BT3","Battery","Device:Battery","Battery:BatteryHolder_MPD_BH-18650-PC2","~"
"","","C1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C6","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C7","1uF","Device:C_Feedthrough","YFF31HC2A105MT000N:FIL_YFF31HC2A105MT000N","~"
"","","C8","1uF","Device:C_Feedthrough","YFF31HC2A105MT000N:FIL_YFF31HC2A105MT000N","~"
"","","C9","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C10","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C11","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","SEK470M035ST"
"","","C12","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C14","47uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C15","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C16","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C17","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C18","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C19","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C20","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C21","680pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C22","12pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C23","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C24","100uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C25","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C26","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C27","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C28","1uF","Device:C_Feedthrough","YFF31HC2A105MT000N:FIL_YFF31HC2A105MT000N","~"
"","","C29","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C30","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C31","100nF","Device:C_Feedthrough","YFF31HC2A104M:FIL_YFF31HC2A104M","~"
"","","C32","1500uF","Device:C_Polarized","Capacitor_SMD:C_Elec_10x10.2","~"
"","","C33","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C34","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C36","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C37","47uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C38","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C39","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C40","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C41","680pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C42","12pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C43","100uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C44","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C45","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C46","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C47","100nF","Device:C_Feedthrough","YFF31HC2A104M:FIL_YFF31HC2A104M","~"
